     t   Part   Pven IMPLAD
0.56100 5107.68447 2752.43100 3443.92666
0.56200 5106.57425 2756.53724 3443.87084
0.56300 5105.46789 2760.67260 3443.81721
0.56400 5104.36533 2764.83176 3443.76568
0.56500 5103.26651 2769.00912 3443.71618
0.56600 5102.17138 2773.19883 3443.66862
0.56700 5101.07989 2777.39480 3443.62293
0.56800 5099.99197 2781.59073 3443.57903
0.56900 5098.90759 2785.78014 3443.53685
0.57000 5097.82670 2789.95637 3443.49633
0.57100 5096.74923 2794.11265 3443.45740
0.57200 5095.67516 2798.24212 3443.42000
0.57300 5094.60441 2802.33782 3443.38406
0.57400 5093.53696 2806.39278 3443.34954
0.57500 5092.47276 2810.40002 3443.31637
0.57600 5091.41175 2814.35259 3443.28450
0.57700 5090.35390 2818.24359 3443.25388
0.57800 5089.29915 2822.06622 3443.22447
0.57900 5088.24748 2825.81376 3443.19621
0.58000 5087.19883 2829.47967 3443.16905
0.58100 5086.15316 2833.05755 3443.14297
0.58200 5085.11044 2836.54118 3443.11790
0.58300 5084.07061 2839.92457 3443.09382
0.58400 5083.03365 2843.20192 3443.07069
0.58500 5081.99950 2846.36769 3443.04846
0.58600 5080.96814 2849.41657 3443.02710
0.58700 5079.93951 2852.34329 3443.00658
0.58800 5078.91359 2855.14280 3442.98687
0.58900 5077.89033 2857.81037 3442.96793
0.59000 5076.86975 2860.34157 3442.94973
0.59100 5075.85152 2862.73223 3442.93225
0.59200 5074.83676 2864.97863 3442.91545
0.59300 5073.82119 2867.07680 3442.89931
0.59400 5072.81964 2869.02495 3442.88381
0.59500 5071.78200 2870.81519 3442.86891
0.59600 5070.87020 2872.46062 3442.85460
0.59700 5069.58522 2873.91006 3442.84085
0.59800 5069.36156 2875.30879 3442.82763
0.59900 5064.84328 2877.65002 3442.81494
0.60000 5177.85984 2729.15359 3285.01911
0.60100 5176.89911 2729.14516 3285.28172
0.60200 5175.93917 2728.44958 3286.06991
0.60300 5174.98001 2727.17209 3287.38477
